id,price,property_type,room_type,availability_365,calculated_host_listings_count,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,reviews_per_month,neighbourhood_cleansed,latitude,longitude
1012121862137395526,,Entire rental unit,Entire home/apt,179,1,a few days or more,0,0,,,Élysée,48.88226951734612,2.3221363417379632
1013659645152994081,,Entire rental unit,Entire home/apt,323,8,within an hour,100,75,4.27,3.41,Élysée,48.87277,2.31075
1013664935529572389,,Entire rental unit,Entire home/apt,336,8,within an hour,100,73,4.22,3.3,Élysée,48.87289,2.31219
1011418115840566788,,Entire rental unit,Entire home/apt,316,5,within an hour,100,0,,,Élysée,48.873960918029255,2.3185344085157715
1012292576113001046,,Entire rental unit,Entire home/apt,0,1,within a few hours,100,1,5.0,0.07,Élysée,48.88192268293039,2.323760313553952
1012788312298545060,,Entire rental unit,Entire home/apt,355,25,within an hour,100,6,4.33,0.27,Élysée,48.87286405678702,2.3122027616977503
1012993453903860298,,Entire rental unit,Entire home/apt,61,45,within an hour,100,1,5.0,0.21,Élysée,48.87259675731938,2.302653323468037
1013023351532968605,,Entire rental unit,Entire home/apt,58,45,within an hour,100,5,5.0,0.7,Élysée,48.8719326,2.3037977
1013024145346387920,,Entire rental unit,Entire home/apt,357,1,,,12,5.0,0.57,Élysée,48.8679842,2.3075279
1013040299582920381,,Entire rental unit,Entire home/apt,364,1,,,0,,,Élysée,48.8666699,2.303642
1013115825016730727,,Entire rental unit,Entire home/apt,30,9,within an hour,100,13,4.85,3.98,Élysée,48.8681,2.32299
1015886774612536192,,Entire rental unit,Entire home/apt,269,1,a few days or more,0,0,,,Élysée,48.8811832,2.3270058
1015800922233222203,,Entire rental unit,Entire home/apt,0,1,,,3,5.0,0.14,Élysée,48.88280295021162,2.3247278313314297
1017416161602129006,,Entire rental unit,Entire home/apt,0,1,,,3,5.0,0.16,Élysée,48.8746516,2.3261702
1018723713328742213,,Entire rental unit,Entire home/apt,364,1,,,0,,,Élysée,48.87552488749148,2.317099347710609
1019645364025139380,,Entire rental unit,Entire home/apt,161,1,within an hour,100,11,4.82,0.95,Élysée,48.87825111651771,2.325061823992863
1021704877608860038,,Entire rental unit,Entire home/apt,140,16,within an hour,100,1,1.0,0.56,Élysée,48.87388295782569,2.31689591561196
1022407881661828925,,Entire rental unit,Entire home/apt,269,1,,,17,4.82,0.83,Élysée,48.87395,2.30231
1023791837568644069,,Entire rental unit,Entire home/apt,214,141,within an hour,100,3,5.0,0.22,Élysée,48.87727270702272,2.2986955972114225
1025408262429591231,,Entire rental unit,Entire home/apt,0,1,,,0,,,Élysée,48.88188698458675,2.3230388737439776
1023207522070718483,,Entire rental unit,Entire home/apt,263,1,within an hour,100,1,5.0,0.33,Élysée,48.8787706,2.3053413
1025911523271170069,,Entire condo,Entire home/apt,166,9,within a day,75,0,,,Élysée,48.87308,2.302
1025922829289692460,,Entire rental unit,Entire home/apt,363,370,within an hour,100,2,5.0,0.23,Élysée,48.871,2.316
1025939362998759778,,Entire rental unit,Entire home/apt,363,370,within an hour,100,0,,,Élysée,48.871,2.312
1025964215767534118,,Entire rental unit,Entire home/apt,35,1,within a day,69,33,4.94,1.81,Élysée,48.87244,2.30913
1025973487362891344,,Entire condo,Entire home/apt,97,9,within a day,75,0,,,Élysée,48.87427,2.30219
1024597009841108266,,Entire home,Entire home/apt,296,1,within an hour,100,60,4.85,2.99,Élysée,48.8721194,2.3042957
1026489070081004269,,Entire rental unit,Entire home/apt,15,1,within an hour,100,75,4.52,3.47,Élysée,48.87481,2.31679
1028416280043983787,,Private room in rental unit,Private room,267,1,a few days or more,0,0,,,Élysée,48.87762700153353,2.3165487139219376
1030109993536044419,,Entire rental unit,Entire home/apt,0,1,,,9,4.56,0.57,Élysée,48.88125858466744,2.320505984943196
1030211817740335495,,Entire rental unit,Entire home/apt,0,44,within an hour,100,0,,,Élysée,48.87889,2.30216
1027461491324100202,,Entire rental unit,Entire home/apt,2,91,,,17,4.94,1.03,Élysée,48.8800817,2.3196184
1028814088239041528,,Entire rental unit,Entire home/apt,203,141,within an hour,100,41,4.2,1.91,Élysée,48.87247,2.30752
1030369378969675444,,Entire rental unit,Entire home/apt,255,88,within an hour,100,3,4.67,0.18,Élysée,48.8692702,2.3228391
1030615640515693564,,Private room in rental unit,Private room,177,8,within an hour,100,1,5.0,1.0,Élysée,48.86992,2.3016
